fecha,autor,pais,medio,titulo,cuerpo,url
2026-07-06 01:40,Alejandro Domínguez,México,Milenio,Migrantes venezolanos deportados de EU mueren tras terremotos en La Guaira,"M+.- Migrantes venezolanos en Estados Unidos perdieron el estatus que les permitió estar por años como refugiados y, horas después de haber regresado a Venezuela , murieron durante los terremotos que sacudieron al país Latinoamericano. El vuelo de repatriación 164, operado por GlobalX, despegó desde Phoenix, Arizona, paró por más migrantes en El Paso, Texas, y desde Miami, Florida, desde donde voló a Caracas. Aterrizó el miércoles 24 de junio a las 10:22 horas en el Aeropuerto Internacional Simón Bolívar. Posteriormente, 146 personas acababan de ser deportadas desde Estados Unidos: 120 hombres, 19 mujeres y siete menores de edad. Bajo custodia de la autoridad venezolana, fueron trasladados al hotel El Santuario La Llanada en La Guaira, mientras se hacían los trámites administrativos de repatriación , según detallaron algunos de sus familiares, quienes incluso se comunicaron con ellos ya estando ahí para acordar detalles de su reencuentro. Pero desde que ocurrió el doble terremoto, dejaron de saber de ellos. Parte del sitio colapsó. La zona está restringida y la seguridad es controlada por el Servicio Bolivariano de Inteligencia Nacional (Sebin). Nadie que ellos no permitan puede acceder al sitio , que desde hace años era utilizado como instalación gubernamental. ​ MILENIO documentó las labores que ahí se realizan. Remoción de escombros, búsqueda, rescate e identificación de cuerpos. La mañana del miércoles, a una semana de haberse derrumbado, personal con casco trabajó sobre los escombros , acompañado de al menos tres funcionarios forenses con vestimenta blanca. Un vehículo de carga, presumiblemente para el traslado de cuerpos, esperaba dentro del terreno. Mientras tres retroexcavadoras eran utilizadas esporádicamente para mover de un lado a otro los restos del edificio. Familiares de algunos deportados subieron fichas de búsqueda a la plataforma para localizar desaparecidos. Poniéndole nombre y rostro a estas probables víctimas mortales de los terremotos. Ninguna autoridad en Venezuela se ha pronunciado sobre lo ocurrido con los 146 migrantes. Si alguno sobrevivió, si murieron y cuándo serán devueltos con sus familiares. La tragedia de estos migrantes comenzó en octubre, cuando la Corte Suprema de Estados Unidos validó una política de la administración Trump que ordenó la cancelación del Estatus de Protección Temporal (TPS), afectando a alrededor de 300 mil venezolanos que entraron a ese país bajo un programa de protección humanitaria. Cada semana, Estados Unidos realiza vuelos como el que trasladó a este grupo de migrantes. RM",https://www.milenio.com/internacional/migrantes-deportados-de-eu-mueren-en-terremotos-de-venezuela
2026-03-12 14:31,Agencia AP,México,Milenio,María Corina Machado: “Trump es un aliado fundamental” para la transición en Venezuela,"La líder de la oposición venezolana, María Corina Machado , afirmó el jueves que el gobierno de Donald Trump permanece como un “aliado fundamental” para la transición democrática en Venezuela , pese al reconocimiento oficial de Estados Unidos a la chavista Delcy Rodríguez como presidenta legítima del país caribeño. ""Hay obstáculos, hay procesos complejos, pero efectivamente un aliado fundamental es el gobierno de Estados Unidos y el presidente Donald Trump"", dijo Machado en una rueda de prensa en Santiago, la primera que concede tras la decisión de Washington. El pasado jueves, Estados Unidos y Venezuela anunciaron el restablecimiento de sus relaciones diplomáticas y consulares . Días después, Trump adelantó durante la cumbre “Escudo de las Américas”, celebrada en Miami, que había reconocido formalmente al gobierno de Rodríguez. Machado, quien viajó a Chile para asistir a la investidura del presidente ultraderechista José Antonio Kas t, expresó confiar en la hoja de ruta establecida por Trump, destacando que el proceso engloba “tres fases”, que incluye la la estabilización, recuperación y transición democrática del país. “La única nación en el mundo que ha arriesgado la vida de sus ciudadanos para conseguir la libertad en Venezuela es Estados Unidos” , dijo la ganadora del Premio Nobel de la Paz, cuya medalla entregó al mandatario estadunidense, en referencia al operativo militar desplegado por Estados Unidos que culminó en la captura y detención de Nicolás Maduro . “Gracias a esa decisión del presidente Trump, hoy Nicolás Maduro enfrenta la justicia” . Machado agregó que, tan pronto sea posible, desea regresar a su país aunque aseguró que solo lo hará cuando haya estabilidad: “tenemos que asegurarnos que cada cada paso que damos sea firme” , matizó. En ese sentido, denunció que Rodríguez es “parte medular, fundamental, de la estructura del régimen criminal de Nicolás Maduro” y destacó que Estados Unidos “le ha dado claras instrucciones para que sectores del régimen desmonten la propia estructura represiva, de corrupción y criminal que ellos armaron”. Machado también se refirió a los millones de venezolanos desplazados debido a la crisis política, económica y social que azota el país tras participar la víspera en la investidura del ahora presidente Kast , un ultraderechista que ha prometido tipificar la inmigración irregular como un delito y expulsar los cerca de 330 mil extranjeros indocumentados que viven en Chile, en su gran mayoría venezolanos. Aseguró en ese marco estar “muy agradecida del presidente Kast“ , recalcando que ”todo país tiene el derecho, el deber, de garantizar su seguridad"" . Con unos 19 millones de habitantes, Chile se ha convertido en los últimos años en uno de los principales destinos de la inmigración latinoamericana. En 2024, la población extranjera representó el 8,8% del total nacional, el doble respecto a 2017 y encabezada por los venezolanos (41,6%). CHZ",https://www.milenio.com/internacional/maria-corina-machado-afirma-trump-es-aliado-clave-en-venezuela
2026-01-06 22:06,Carlos Zaid,México,Milenio,Migrantes venezolanos ven esperanza tras detención de Nicolás Maduro,"Existe expectativa de que, tras el conflicto en Venezuela con la intervención de Estados Unidos , mejoren las condiciones de vida de la población , que por décadas ha enfrentado pobreza, deficiencias en servicios públicos, inseguridad, desempleo y falta de vivienda, situación que ha obligado a miles de personas a abandonar el país. Valentina Rodríguez llegó al Estado de México hace poco más de dos semanas procedente de Venezuela, donde dejó a sus hijos pequeños. En entrevista con Milenio Estado de México , explicó que decidió migrar debido a la crisis que vive su país y porque en México reside su hermana , quien cuenta con residencia permanente desde hace diez años. Rodríguez consideró que el escenario actual podría abrir una etapa de cambio para su nación, aunque advirtió que la recuperación no será inmediata. Señaló que la falta de ingresos, el alto costo de los alimentos y el colapso de los servicios básicos fueron determinantes para abandonar Venezuela. La joven explicó que, una vez que la situación se normalice, su intención es regresar, aunque reconoce que ese proceso tomará tiempo. Este día, Valentina acudió junto con un grupo de aproximadamente 30 personas a las instalaciones de la Comisión Mexicana de Ayuda a Refugiados (COMAR) , ubicadas en la calle Los Remedios, en la colonia San Luis Tlatilco, en Naucalpan, para solicitar residencia permanente. La COMAR, organismo dependiente de la Secretaría de Gobernación, es la instancia encargada de recibir y analizar las solicitudes de reconocimiento de la condición de refugiado y de otorgar protección complementaria a personas extranjeras que lo requieran. Como parte del proceso, la institución entrega una constancia que acredita el inicio del trámite y protege a la persona solicitante de ser devuelta a su país de origen. Entre enero y septiembre de 2025, la COMAR registró más de 58 mil 800 solicitudes de refugio de distintas nacionalidades. Tan solo entre octubre de 2024 y junio de 2025 se contabilizaron 42 mil 145 solicitudes, de las cuales 39 mil 048 fueron admitidas a trámite, principalmente de personas originarias de Honduras, Cuba, Haití, El Salvador y Venezuela. kr",https://www.milenio.com/comunidad/migrantes-venezolanos-ven-esperanza-tras-conflicto-con-eu
2025-12-11 17:36,Ramón Bragaña,México,Milenio,Migrantes venezolanos varados en Oaxaca celebran el Nobel de María Corina Machado,"La esperanza regresó para 52 migrantes venezolanos deportados , —quienes permanecen en un albergue de San Pedro Tapanatepec, Oaxaca— luego de que María Corina Machado recibió el Premio Nobel de la Paz , un símbolo de lucha contra el régimen de Nicolás Maduro. María Ángeles, migrante venezolana, explicó a MILENIO que ella, su esposo y su hija de tres meses de edad, tuvieron que salir del país porque su esposo, quien era policía, se negó a reprimir a los manifestantes en la pasada elección , donde, según los venezolanos, se consumó otro fraude más de los cometidos por Maduro. Para María Ángeles y para el resto de la población, quienes son parte de los nueve millones de venezolanos que han emigrado para mejorar su calidad de vida, el Premio Nobel de la Paz muestra el verdadero sentimiento venezolano . La mujer y sus paisanos que se encuentran en el albergue ubicado en la zona oriente del Istmo de Tehuantepec, han iniciado los trámites para regularizar su estancia en el país; sin embargo, ese asunto se debe resolver en un plazo estimado de seis meses. Este jueves, la ganadora del Premio Nobel de la Paz anunció que planea llevar su premio de regreso a Venezuela, pero se negó a revelar cuándo regresaría , tras haber dejado el país en secreto para recibir el galardón. La líder de la oposición venezolana arribó a Oslo esta madrugada, pero no llegó a tiempo a la capital noruega para la ceremonia de entrega del premio, celebrada horas antes. Machado salió secretamente de Venezuela rumbo a Oslo, desafiando un prohibición de viajar, impuesta por las autoridades durante una década y tras pasar más de un año escondida.  Cuando Machado ganó el Premio Nobel de la Paz en octubre, lo dedicó en parte al presidente estadunidense Donald Trump, quien ha dicho que él mismo merecía el honor. Machado se ha alineado con los halcones cercanos a Trump que argumentan que Maduro tiene vínculos con bandas criminales que representan una amenaza directa para la seguridad nacional de Estados Unidos, a pesar de las dudas planteadas por la comunidad de inteligencia estadunidense. En una conferencia de prensa, cuando se le preguntó a Machado si apoyaría una invasión estadunidense a territorio venezolano, respondió que su país ya había sido invadido por actores como agentes rusos e iraníes y cárteles de la droga . Con información de Reuters ksh ​",https://www.milenio.com/estados/migrantes-venezolanos-celebran-nobel-maria-corina-machado
2025-04-24 16:36,Jhonatan González,México,Milenio,Migrantes venezolanos protestan en Chiapas; piden que los retornen a su país,"Más de mil 700 personas originarias de Venezuela que abandonaron el llamado ""sueño americano"" se encuentran en lista de espera para ser retornadas a su país lo antes posible. Este jueves realizaron una protesta pacífica frente a las oficinas del Instituto Nacional de Migración (INM), al oriente de Tuxtla Gutiérrez, donde solicitaron a las autoridades mexicanas agilizar los retornos aéreos y pidieron al gobierno venezolano intervenir en el asunto. Eber Niño manifestó que no cuentan con recursos para regresar a su país. Señaló que llevan poco más de siete meses en territorio mexicano y que son muchas las familias que permanecen varadas tanto en Tapachula como en Tuxtla Gutiérrez . Desde febrero a la fecha, más de mil 700 personas se han anotado en la lista para retornar a Venezuela, situación que se ha intensificado desde que Donald Trump asumió nuevamente la presidencia de Estados Unidos. La mayoría también permanece varada en Tapachula , junto a miles de migrantes de distintas nacionalidades. Alice Urbina Vázquez se encuentra en la frontera sur y ya no puede continuar su camino debido a que su pasaporte venció y sus hijos no cuentan con dicho documento . Decidieron regresar a su país, pero han pasado varios meses sin poder movilizarse . Está a la espera desde el 4 de febrero , junto a su familia, de ser llamada tras haberse anotado en la lista de espera para abordar un vuelo humanitario , como ya lo han hecho cientos de venezolanos. Asegura que se unió a la protesta pacífica para que los gobiernos de México y Venezuela los tomen en cuenta. Adelaida Álvarez declaró que es una de las personas que ya no lograron avanzar hacia el centro y norte del país para intentar cruzar a Estados Unidos . Actualmente busca ser parte de quienes retornan en vuelos humanitarios a Venezuela para comenzar de nuevo. De manera reciente, 70 personas fueron retornadas , sin embargo, más de mil 700 continúan varadas en Chiapas . Lamentó que se dé prioridad a familias con niños , pero recordó que todos son seres humanos y también requieren retornar a Venezuela . Aclaró que no pretenden avanzar hacia el norte de México , sino únicamente regresar a su país . MO",https://www.milenio.com/estados/migrantes-protestan-en-tuxtla-gutierrez-piden-volver-a-venezuela
2025-04-20 16:34,Agencia EFE,México,Milenio,Bukele propone a Maduro liberar a presos políticos a cambio de migrantes venezolanos,"El presidente de El Salvador, Nayib Bukele , le propuso este domingo a su homólogo venezolano, Nicolás Maduro , un acuerdo humanitario. Éste consiste en repatriar a los migrantes venezolanos expulsados desde Estados Unidos y detenidos en una cárcel de máxima seguridad del país centroamericano, acusados de pertenecer a la banda criminal transnacional Tren de Aragua , a cambio de la liberación de los presos políticos. Señor @NicolasMaduro , usted ha dicho en numerosas ocasiones que quiere a los venezolanos de regreso y en libertad. A diferencia de usted, que tiene presos políticos, nosotros no tenemos presos políticos. Todos los venezolanos que tenemos bajo custodia fueron detenidos en el… El mandatario salvadoreño expresó que ""a diferencia de nuestros detenidos, muchos de los cuales han asesinado, otros han cometido violaciones, y algunos incluso habían sido arrestados en múltiples ocasiones antes de ser deportados, sus presos políticos no han cometido ningún delito"". En el mensaje, Nayib Bukele expresó que algunos presos políticos son: El mandatario mencionó también a los cuatro dirigentes políticos asilados en la embajada de Argentina y otros venezolanos presos políticos. Además, ""se incluirían los casi 50 ciudadanos detenidos de otras nacionalidades: estadunidense, alemana, dominicana, argentina, boliviana, israelí, chilena, colombiana, ecuatoriana, española, francesa, guyanesa, neerlandesa, iraní, italiana, libanesa, mexicana, peruana, puertorriqueña, ucraniana, uruguaya, portuguesa y checa"". ​",https://www.milenio.com/internacional/bukele-pide-liberar-presos-politicos-migrantes-venezolanos
2025-04-19 10:19,Agencia Reuters,México,Milenio,Corte Suprema bloquea deportación de migrantes venezolanos en EU,"La Corte Suprema de Estados Unidos detuvo el sábado a la administración del presidente Donald Trump de deportar a hombres venezolanos bajo custodia de migración después de que sus abogados dijeran que estaban en riesgo inminente de expulsión sin la revisión judicial previamente ordenada por los jueces. La Casa Blanca no respondió inmediatamente el sábado las peticiones de comentarios. Los jueces conservadores Clarence Thomas y Samuel Alito disintieron públicamente de la decisión, emitida hacia las 12:55 horas (22:55 en CdMx). Los abogados de la Unión Estadunidense por las Libertades Civiles (ACLU, por sus siglas en inglés) presentaron el viernes solicitudes urgentes en múltiples tribunales, incluida la Corte Suprema, instando a una acción inmediata tras informar de que algunos de los hombres ya habían sido subidos a autobuses y se les había comunicado que iban a ser deportados. La ACLU dijo que la rápida evolución de los acontecimientos significaba que el gobierno estaba dispuesto a deportar a los hombres utilizando una ley de 1798 que históricamente sólo se ha empleado en tiempos de guerra, sin darles una oportunidad realista de impugnar su expulsión, como había exigido la Corte Suprema. ???? @MSNBC cuts away from Oval Office coverage just as @POTUS reads the facts about Salvadoran MS-13 gangbanger Kilmar Abrego Garcia. The Fake News doesn't want the American people to know the TRUTH. pic.twitter.com/QkpK0JK2Hl El caso plantea interrogantes sobre la adhesión de la administración Trump a los límites establecidos por la Corte Suprema. Conlleva el riesgo de un choque significativo entre las dos ramas coiguales del gobierno y potencialmente una crisis constitucional en toda regla . Elegido el año pasado con la promesa de tomar medidas enérgicas contra los migrantes, Trump invocó la Ley de Enemigos Extranjeros de 1798 en un intento de deportar rápidamente a los miembros acusados del Tren de Aragua , una banda criminal originaria de las cárceles venezolanas que su administración califica de grupo terrorista. Trump y sus principales ayudantes han afirmado que su poder ejecutivo les otorga una amplia autoridad en asuntos de migración, poniendo a prueba el equilibrio de poderes entre las ramas del gobierno . Durante una audiencia el viernes, un abogado del gobierno dijo en un caso relacionado que no estaba al tanto de los planes del Departamento de Seguridad Nacional para deportar a los hombres el viernes, pero que podría haber deportaciones el sábado. Trump se anotó una victoria el viernes cuando un tribunal de apelaciones dejó en suspenso una amenaza del juez de distrito James Boasberg de presentar cargos por desacato . Boasberg también denegó una solicitud de ACLU para bloquear a Trump de deportar a presuntos miembros del Tren de Aragua , citando un fallo de la Corte Suprema del 7 de abril que permitió a Trump usar la Ley de Enemigos Extranjeros , aunque con ciertos límites. REPORTER: There's a group of Venezuelan men in Texas who have been alerted that they are soon going to be deported under the Alien Enemies Act. Have you authorized that operation? @POTUS : ""If they're bad people I would certainly authorize it, yeah... our people voted for me to… pic.twitter.com/xRb6YfZYEy Boasberg dijo que le preocupaba que el gobierno deportara a más personas tan pronto como el sábado , pero que ""en este momento simplemente no creo que tenga el poder de hacer nada al respecto"". Trump pidió hace un tiempo la destitución de Boasberg tras un fallo adverso, lo que provocó una rara reprimenda del presidente de la Corte Suprema, John Roberts. Mientras se desarrollaba una audiencia en el tribunal de Boasberg, la ACLU trabajaba en una vía separada para detener las deportaciones de venezolanos detenidos en Texas. Los abogados de la ACLU se presentaron ante la Corte Suprema después de no obtener una respuesta rápida de las presentaciones anteriores el viernes ante el juez de distrito James Hendrix en Abilene, Texas, y la Corte de Apelaciones del Quinto Circuito en Nueva Orleans para bloquear cualquier deportación de este tipo. En la orden del sábado, la Corte Suprema invitó a la administración a presentar una respuesta a la solicitud de la ACLU después de que el Quinto Circuito actuara . La ACLU dijo que los hombres habían recibido formularios que indicaban que estaban clasificados como miembros del Tren de Aragua . La cuestión es si la administración Trump ha cumplido con el estándar de la Corte Suprema para proporcionar a los detenidos el debido proceso antes de enviarlos a otro país, posiblemente a la notoria prisión en El Salvador donde otros están encarcelados. No estaba claro el viernes cuántas personas potencialmente iban a ser deportadas, y a dónde podrían ser llevadas . SNGZ ​ ​",https://www.milenio.com/internacional/corte-suprema-bloquea-deportacion-migrantes-venezolanos-eu
2025-04-18 18:57,Agencia EFE,México,Milenio,"EU pretende enviar más migrantes venezolanos a El Salvador, acusa la ACLU","La ACLU (Estadunidense por las Libertades Civiles) denunció que el gobierno de Estados Unidos busca expulsar a más migrantes venezolanos a El Salvador, la organización presentó recursos de emergencia , incluso dirigidos al Supremo, para frenar el traslado de los suramericanos. En las demandas, la ACLU le solicita a las cortes que intervengan para evitar que los migrantes no sean expulsados del país bajo la Ley de Enemigos Extranjeros de 1798, que solo se ha usado en tiempos de guerra. La organización argumenta que el gobierno Trump está ignorando una decisión del Supremo al querer expulsar a los migrantes sin ""notificar (a sus abogados) o darles una oportunidad de ser escuchados"". La ACLU asegura que, según información entregada por familiares de los detenidos en un centro en Anson (Texas), e l gobierno busca enviar a los migrantes al país centroamericano esta noche o mañana. Según el recurso, los migrantes son acusados por oficiales del Servicio de Inmigración y Aduanas ( ICE ) de pertenecer al Tren de Aragua, una banda criminal transnacional originada en una cárcel de Venezuela . Además, se les entregaron documentos en inglés para que los firmaran y aceptaran su expulsión. Los magistrados del Supremo emitieron un fallo que permite al gobierno continuar con las expulsiones de migrantes a una megacárcel en El Salvador, siempre y cuando se les notifique del traslado y se les dé la oportunidad de impugnar la decisión dentro de un periodo ""razonable"". El gobierno de Estados Unidos llegó a un acuerdo con el presidente de El Salvador, Nayib Bukele , para poder enviar a migrantes detenidos en el país hacia el Centro de Confinamiento del Terrorismo ( Cecot ), una prisión de máxima seguridad sobre la recaen denuncias de abusos a los derechos humanos. Como parte del trato, del que no se conocen detalles específicos, Washington pagará a El Salvador seis millones de dólares anuales para sostener el sistema carcelario del país centroamericano. En total, Estados Unidos ha enviado a más de 200 migrantes, en su mayoría venezolanos, a esta cárcel , acusándolos de pertenecer al Tren de Aragua . Sin embargo, según un análisis publicado la semana pasada por el portal Bloomberg, un 90 por ciento de los más de 200 hombres que Estados Unidos tiene encarcelados en El Salvador no tienen antecedentes penales en territorio estadunidense . ​ARE",https://www.milenio.com/internacional/eu-pretende-enviar-migrantes-venezolanos-salvador-senala-aclu
2025-04-15 15:04,Abraham Jiménez,México,Milenio,"Migrantes venezolanos piden retornar a su país, mantendrán protestas para su repatriación","Migrantes venezolanos que se encuentran en Tapachula , piden a las autoridades mexicanas y venezolanas que implementen un corredor humanitario que les permita retornar a su país . La gran mayoría de estos migrantes venezolanos quedó atrapada tras las políticas migratorias de Estados Unidos que implementó Donald Trump, las cuales no permiten el ingreso de migrantes e incluso contemplan programas de deportación para regresarlos a su país de origen. Este pasado martes, los migrantes protestaron en las afueras de la estación migratoria siglo 2 1 , para pedir al presidente de Venezuela, Nicolás Maduro, que les ayuden con vuelos humanitarios para poder retornar a su país. Y es que con el cierre de la aplicación CPONE , la gran mayoría de migrantes se quedaron varados en México sin tener idea de si intentar cruzar de manera ilegal a Los Estados Unidos, quedarse en el país o regresar a sus lugares de origen, por lo que muchos de estos migrantes han decidido mejor intentar retornar a su país. En este sentido poco más de 200 migrantes que se manifestaron para exigir a las autoridades venezolanas abrir un corredor migratorio , en la que un grupo de mujeres venezolanas y personas de la tercera edad mostraron algunas cartulinas pidiendo ayuda “¡Ayuda Aviones Tapachula”, “Queremos regresar a nuestro país”, “Sr presidente, presidente Maduro Somos dos mil migrantes en Tapachula, Tuxtla Gutiérrez y Ciudad de México, ¡urgentes vuelos humanitarios!”, eran algunas de las pancartas que mostraban. Por su parte, se indica que el Instituto Nacional de Migración ( INM ) tiene la disposición de acordar vuelos de repatriación a Venezuela, pero que el gobierno sudamericano aún no brinda una respuesta positiva, por lo que afirman las autoridades mexicanas siguen en este proceso de acuerdos bilaterales. Al momento se afirma que son poco más de 2.000 personas que están a la espera de los vuelos humanitarios , ya que hacerlo por su cuenta les cuesta alrededor de 1.000 dólares, siempre y cuando tengan pasaporte vigente, sin embargo, la mayoría cuenta con su cédula de identidad. Por el momento, se mantienen grupos de migrantes a las afueras de las instalaciones de la estación migratoria siglo XXI, donde esperan una respuesta favorable a su petición , se prevé que para el día de mañana se manifiesten de nueva cuenta, pidiendo a las autoridades venezolanas abrir el corredor humanitario. ​AH",https://www.milenio.com/estados/migrantes-venezolanos-protestan-para-su-repatriacion-en-chiapas
2025-03-30 16:42,Agencia AFP,México,Milenio,"Llega vuelo con 175 deportados desde EU a Venezuela; reciben al primer criminal de ""peso""","Las autoridades de Venezuela informaron este domingo sobre la llegada del primer criminal de ""peso"" deportado de Estados Unidos al recibir un nuevo vuelo con 175 migrantes venezolanos expulsados por Washington. En medio del endurecimiento de su política migratoria, el gobierno del presidente estadunidense, Donald Trump, ha tachado a los migrantes irregulares de criminales y ha acusado a muchos venezolanos de pertenecer a la temida banda Tren de Aragua . #SiNosBuscanNosEncuentran | El vicepresidente sectorial de Política, Seguridad Ciudadana y Paz, Diosdado Cabello Rondón ( @dcabellor ), en nombre de presidente de la República, Nicolás Maduro, recibió este domingo 175 venezolanos provenientes de los Estados Unidos que arriban a la… pic.twitter.com/si6pgZIsV9  El ministro, que ha rechazado en distintas oportunidades los señalamientos de Estados Unidos contra los migrantes, insistió en afirmar que hasta ahora en los vuelos de deportación no ha llegado ningún miembro del Tren de Aragua . Venezuela y Estados Unidos, con relaciones diplomáticas rotas desde 2019, tuvieron un acercamiento en enero pasado para acordar vuelos de deportación. El pacto fue interrumpido durante un mes luego de que Washington revocara la licencia a la petrolera Chevron para operar en Venezuela en medio del embargo impuesto por Washington en 2019. Los vuelos se retomaron hace una semana. El de este domingo es el tercero en aterrizar en el país desde la reanudación , aunque el primero operado con bandera estadunidense desde que se anunció el acuerdo. Los anteriores vuelos habían sido operados por la estatal aerolínea venezolana Conviasa. En total, 918 personas han llegado a Venezuela deportadas de Estados Unidos . Otros 553 migrantes han retornado procedentes de México y no está claro si estuvieron en suelo estadunidense. Según la ONU, casi 8 millones de venezolanos han dejado su país huyendo de una crisis económica que comenzó a revertirse en 2021. El gobierno asegura que más de un millón 200 mil han regresado . ksh ​",https://www.milenio.com/internacional/venezuela-recibe-criminal-peso-deportado-eu
