Titulo,Categoria,Autor,Fecha,URL,Cuerpo
Club El Universal,,,,https://club.eluniversal.com.mx/#/home,"Copyright © Todos los derechos reservados | EL UNIVERSAL, Compañía Periodística Nacional."
,,,,https://www.eluniversal.com.mx/el-uni-explica/,"Expertos advierten que perder la visa no prueba la comisión de un delito, aunque la medida podría anteceder a una investigación o acusación penal Pese a presentarse como una vía para fortalecer derechos, la propuesta también enfrenta dudas sobre su impacto en la libertad de expresión Tras un hackeo perpetrado por modelos de OpenAI, el CEO de la empresa sugirió una pausa en el desarrollo de la IA; experto advierte riesgos para información de gobiernos 17 mexicanos han muerto en custodia de la agencia migratoria más poderosa de EU; explicamos su historia, facultades y modo de operar Especialista alerta que abrogar la ley del ISSSTE de 2007 es insostenible debido al contexto demográfico Del fentanilo al Golfo de México, te explicamos las tensiones y retos clave de la relación Sheinbaum-Trump Consulta en esta infografía lo último que se sabe sobre el paradero de los políticos presuntamente vinculados al narcotráfico Especialistas prevén desde apoyo internacional y financiero hasta mecanismos como una comisión de investigación; subrayan que no se trata de un proceso judicial o de sanción La presidenta Sheinbaum enviará la propuesta ya revisada a la Cámara de Diputados El grupo Pakal enfrenta señalamientos por conducta indebida de al menos 11 elementos Nemesio Oseguera Cervantes “El Mencho” era líder del Cártel Jalisco Nueva Generación. Fue abatido este domingo 22 de febrero, informó Sedena El sonido ya es un arma; dispositivos acústicos usados por ejércitos y policías generan daños a la salud y se perfilan como parte del arsenal bélico del futuro La salida de Maduro abrió expectativas de transición, pero el control interino de Delcy Rodríguez mantiene intactas las estructuras represivas y el poder del chavismo México es el segundo país más mencionado en el dictamen que acusa a Maduro y aliados, emitido por la Corte del Distrito Sur de Nueva York. En 19 estados gobernados por hombres, 18 de sus cónyuges ocupan cargos en la administración pública Tras el anuncio de Claudia Sheinbaum, te desglosamos los puntos clave que implican estos cambios Copyright © Todos los derechos reservados | EL UNIVERSAL, Compañía Periodística Nacional. De no existir previa autorización, queda expresamente prohibida la Publicación, retransmisión, edición y cualquier otro uso de los contenidos. Utilizamos cookies para mejorar tu experiencia y mostrarte contenido relevante. Al continuar navegando, aceptas nuestra política de cookies y el tratamiento de tus datos personales.Aviso de Privacidad."
Contacto,,,,https://www.eluniversal.com.mx/contacto/,"Queremos saber qué opinas sobre los temas que te interesan.
Desde aquí puedes enviarnos comentarios, denuncias, sugerencias, imágenes, videos o ilustraciones que desees compartir con nosotros. Tu participación es esencial para nosotros.
Gracias por tu preferencia. suscripciones@eluniversal.com.mx
Teléfono Directo: 55 5237 0800
WhatsApp: 55 6883 2640 anuncia.online@eluniversal.com.mx
WhatsApp: 55 5237 0816 Copyright © Todos los derechos reservados | EL UNIVERSAL, Compañía Periodística Nacional. De no existir previa autorización, queda expresamente prohibida la Publicación, retransmisión, edición y cualquier otro uso de los contenidos. Utilizamos cookies para mejorar tu experiencia y mostrarte contenido relevante. Al continuar navegando, aceptas nuestra política de cookies y el tratamiento de tus datos personales.Aviso de Privacidad."
Gabinete de Sheinbaum,,,,https://www.eluniversal.com.mx/gabinete-de-sheinbaum/,"Copyright © Todos los derechos reservados | EL UNIVERSAL, Compañía Periodística Nacional. De no existir previa autorización, queda expresamente prohibida la Publicación, retransmisión, edición y cualquier otro uso de los contenidos. Utilizamos cookies para mejorar tu experiencia y mostrarte contenido relevante. Al continuar navegando, aceptas nuestra política de cookies y el tratamiento de tus datos personales.Aviso de Privacidad."
,,,,https://www.eluniversal.com.mx/consejo-editorial-consultivo/,"Doctor en Ciencia Política por la UNAM. Es investigador titular del Instituto de Investigaciones Sociales de la UNAM y profesor de Flacso México. Miembro de la Comisión Dictaminadora de Relaciones Internacionales de la FCPyS, UNAM. Es ""Investigador Titular"" por oposición del Centro de Investigaciones de América del Norte. Sociólogo por la Facultad de Ciencias Políticas y Sociales de la UNAM, de la que es profesor de licenciatura y posgrado desde hace 50 años. Maestra y Doctora en derecho por la Universidad de Stanford. Profesora en la UNAM, investigadora en la UNAM y el CIDE. Ha publicado varios libros y artículos sobre la política de drogas en América Latina, los modelos de seguridad, el castigo penal, la militarización en México y el poder judicial. Narradora y periodista. Estudió Comunicación en la Universidad Iberoamericana. Economista egresada del Instituto Tecnológico Autónomo de México (ITAM). Escritor y periodista. Autor de La perfecta espiral, Como nada en el mundo, El secreto de la Noche Triste, y de tres libros de crónicas entre otros libros. Columnista de El Universal y conductor del programa de televisión El Foco, de Canal 40. Jurista constitucionalista, especializado en derecho electoral, teoría constitucional y gobernanza democrática. Es doctor por la Universidad de Turín, Italia. Miembro del Sistema Nacional de Investigadores (SNI) nivel III. Fue consejero presidente del INE desde de 2014 hasta 2023. Fundador de Cauce Ciudadano A.C. Especialista en prevención del delito. Licenciada en Contaduría Pública por el ITESM y en Estudios de Negocios Internacionales por la Universidad Pontificia Comillas de Madrid. Licenciado en Economía, Mtro. en Derecho por la UNAM y notario de la CDMX. Se ha dedicado al estudio de la historia nacional y es autor de diversas biografías. Profesor Titular, Departamento de Historia y Filosofía de la Medicina, Facultad de Medicina, UNAM. Presidente de la International Society for the History of Medicine. Arquitecto por la UNAM. Coordinador de Proyectos Especiales de la UNAM. Escritor y periodista. Ha colaborado con varios medios de comunicación nacionales y extranjeros. Es miembro asociado del Seminario de Cultura Mexicana e integrante del Colegio de Cronistas de la Ciudad de México. Diseñador industrial y emprendedor social, estudió en la Rhode Island School of Design. Trabaja en desarrollar acceso sostenible al agua para zonas de estratos socioeconómicos bajos y con escasez de agua. Periodista de investigación especializado en temas socioambientales. Maestro en Periodismo Político por la Escuela de Periodismo Carlos Septién García. Colaborador del Laboratorio de Ecología Política y Estudios Socioambientales del Instituto de Investigaciones en Ecosistemas y Sustentabilidad (IIES) de la UNAM. Doctor en Ciencia Política por la UNAM. Es investigador titular del Instituto de Investigaciones Sociales de la UNAM y profesor de Flacso México. Doctora en Antropología por el CIESAS-CDMX. Licenciada y Maestra en Derecho por la Universidad Michoacana de San Nicolás de Hidalgo. Doctora en Ciencia Política por la Universidad de La Sorbonne París III. Fue Directora de Alianza Cívica, de Mexicobserva y participó en el Foro Ciudadano de Oaxaca. Es profesora asociada del CIDE. Ha coordinado investigaciones sobre participación ciudadana. Investigadora del Instituto de Investigaciones Jurídicas de la UNAM. Maestra y doctora en derecho por la Universidad de Yale (EU). Magistrada de Circuito en retiro. Actualmente se desempeña como Presidenta de la Asociación Mexicana de Juzgadoras, A.C. Académica y activista. Cuenta con casi treinta años de carrera judicial. Maestro en Derecho Comparado en la Universidad de California, EU y Doctor en Derecho en la UNAM. Consejero de la Comisión Nacional de Arbitraje Médico, 2014-2018. Abogado en materia de derechos humanos. Fue miembro del Comité contra las Desapariciones Forzadas de las Naciones Unidas de 2013 a 2017; y Presidente del Comité de 2016 a 2017; Miembro del Consejo Consultivo del Consejo Nacional para Prevenir y Erradicar la Discriminación (CONAPRED) de 2013 a 2018. Licenciado en Letras Hispánicas por la Universidad Nacional Autónoma de México. Ha sido presidente de la Red de Radiodifusoras y Televisoras Educativas y Culturales de México. Economista egresada del Instituto Tecnológico Autónomo de México (ITAM). Miembro de la Comisión Dictaminadora de Relaciones Internacionales de la FCPyS, UNAM. Es ""Investigador Titular"" por oposición del Centro de Investigaciones de América del Norte. Vicepresidente de Estrategia y Nuevas Iniciativas del Wilson Center. Fue profesor y director del Programa de Relaciones Internacionales del Instituto Tecnológico Autónomo de México (ITAM). Profesora-Investigadora de Relaciones Internacionales en el CIDE. Fue Embajador en Canadá y ante la OCDE en París.
Profesor de economía en la UNAM, COLMEX y la IBERO. Fue embajador de México ante la República Popular China. Fue embajador de México en Egipto, así como en Senegal, Gambia y Cabo Verde, Arabia Saudixta, Jordania, Kuwait, Omán, Egipto, Jordania, Siria, Sudán y Etiopía. Maestra en Comunicación y Licenciada en Relaciones Internacionales por la Universidad Iberoamericana. Experta en procesos de negociación, prevención de crisis y recuperación. Maestro en Política Internacional, London School of Economics and Political Science.
Director del Grupo COPPAN. Diplomático y escritor mexicano. Director General Ejecutivo en The Aspen Institute México. Licenciado en Letras Hispánicas por la Universidad Nacional Autónoma de México. Ha sido presidente de la Red de Radiodifusoras y Televisoras Educativas y Culturales de México. Sociólogo por la Facultad de Ciencias Políticas y Sociales de la UNAM, de la que es profesor de licenciatura y posgrado desde hace 50 años. Narradora y periodista. Estudió Comunicación en la Universidad Iberoamericana. Secretario ejecutivo del Semianrio de Cultura Mexicana. Director de la ALMAC (Asociación de Libreros Mexicanos). Consultor y asesor de Librerías Gandhi y Porrúa. Licenciada en Historia del Arte por la Universidad Iberoamericana y maestra en Arte Contemporáneo por la Universidad de Manchester/Sotheby’s Institute of Art, Reino Unido. Es historiadora, editora y gestora cultural, con amplia trayectoria en la preservación y difusión del patrimonio cultural de México. Es maestra de asignatura en la Universidad Nacional Rosario Castellanos. Es maestra en Literatura Comparada por la UNAM y tiene un doctorado por la misma institución. La investigadora y gestora cultural es directora de la Casa del Lago. Director de escena. Profesor y director del Centro Universitario de Teatro de la UNAM. Se desempeñó como maestro en la Facultad de Derecho de la UNAM y en CUT Universidad de Tijuana. Licenciado en Economía, Mtro. en Derecho por la UNAM y notario de la CDMX. Se ha dedicado al estudio de la historia nacional y es autor de diversas biografías. Arquitecto por la UNAM. Coordinador de Proyectos Especiales de la UNAM. Licenciado en Letras Hispánicas por la Universidad Nacional Autónoma de México. Ha sido presidente de la Red de Radiodifusoras y Televisoras Educativas y Culturales de México. Copyright © Todos los derechos reservados | EL UNIVERSAL, Compañía Periodística Nacional. De no existir previa autorización, queda expresamente prohibida la Publicación, retransmisión, edición y cualquier otro uso de los contenidos. Utilizamos cookies para mejorar tu experiencia y mostrarte contenido relevante. Al continuar navegando, aceptas nuestra política de cookies y el tratamiento de tus datos personales.Aviso de Privacidad."
"Resultados Loterías México Hoy: Tris, Melate, Chispazo 2026",,,,https://resultados-loterias.eluniversal.com.mx/,"Consulta los números ganadores de Tris, Melate y Chispazo de Pronósticos para la Asistencia Pública Comprar Billetes De Lotería Sorteos diarios: 5 al díaSolicitar Asistencia En Servicios Sociales Horarios: 13:00, 15:00, 17:00, 19:00 y 21:15 hrs Todos los días · 15:00 y 21:00 hrsComprar Billetes De Lotería En Resultados  Loterías te ofrecemos los resultados actualizados del Tris, Melate y Chispazo de Pronósticos para la Asistencia Pública. Consulta los números ganadores de todos los sorteos de forma rápida y confiable. El Tris cuenta con 5 sorteos diarios (12:00, 15:00, 17:00, 19:00 y 21:15 hrs), el Melate se celebra miércoles y domingos a las 21:00 hrs, y el Chispazo tiene sorteos diarios a las 15:00 y 21:00 hrs. Puedes consultar los resultados de cada sorteo de manera individual o ver todos los resultados del día en nuestra página principal. Cada sorteo incluye la fecha, número de sorteo y los números ganadores. Además, cada vista de resultados incluye un verificador integrado para comprobar si tu boleto es ganador de forma inmediata. Solicitar Asistencia En Servicios Sociales En cada página de resultados encontrarás un verificador integrado donde puedes ingresar tus números y comprobar instantáneamente si tienes un boleto ganador. Esta funcionalidad está disponible para todos los sorteos: Tris (5 números del 0-9), Melate (6 números del 1-56 + adicional), y Chispazo (5 números del 1-28). Copyright © Todos los derechos reservados | El Universal, Compañía Periodística Nacional. De no existir previa autorización, queda expresamente prohibida la Publicación, retransmisión, edición y cualquier otro uso de los contenidos"
Nicolás Maduro asegura que sanciones económicas “provocaron” migración venezolana; expertos lo contradicen y señalan otras causas,mundo,​​​​​​​EFE,2025-01-22T02:27:02.697Z,https://www.eluniversal.com.mx/mundo/nicolas-maduro-asegura-que-sanciones-economicas-provocaron-migracion-venezolana-expertos-lo-contradicen-y-senalan-otras-causas/,
El Universal San Luis Potosí | El periódico de México líder en noticias y clasificados,,,,https://sanluis.eluniversal.com.mx/,"Vestir a un estudiante puede representar un gasto de hasta 2 mil pesos o más; padres recurren a reutilizar piezas, comprar por separado y buscar tallas que permitan estirar el gasto De la entrada gratis al antojo que dispara la cuenta: esto puede gastar una familia en la Fenapo entre comida, bebidas, entradas al baño y otras actividades Experto sostiene que ""no puede limitar la discusión a corregir referencias legales""; pide definir las categorías Artesanal y Ancestral y convocar al Consejo Estatal del Mezcal para fijar una postura Gobierno de SLP confirmó que uno de los presuntos agresores murió durante el enfrentamiento y otros dos habrían escapado; autoridades desplegaron un operativo por tierra y aire Elementos de seguridad mantienen activo un operativo en la comunidad de San Miguel, ya que presuntamente uno de los agresores se dio a la fuga y se internó en la zona El vencimiento del plazo para números con terminación 0 provocó largas filas en los centros de registro de la capital de SLP El joven de 20 años habría escapado de presuntos captores y pidió ayuda en una central camionera, de acuerdo con información difundida tras su localización Villa de Reyes ya tiene avanzada la actualización de su Programa de Ordenamiento Territorial, pero esperará la publicación del Plan Metropolitano para homologar criterios con el Gobierno del Estado Sin mencionar directamente al gobernador de Sinaloa, la Presidenta sostuvo que los servidores públicos deben anteponer el bienestar de la población a cualquier ambición La dependencia recordó que EU aún no entrega pruebas contra el gobernador Su detención representa un avance dentro de una de las líneas de investigación, informaron las autoridades Tras cuatro jornadas sin conocer la victoria, el conjunto potosino tendría como principal objetivo alcanzar el Play-In, aunque su margen de error comienza a reducirse El delantero francés desató la ilusión entre los aficionados La cantidad aumenta con la antigüedad y, además, las personas trabajadoras tienen derecho a recibir una prima vacacional de al menos 25 por ciento Copyright © Todos los derechos reservados | EL UNIVERSAL, Compañía Periodística Nacional. De no existir previa autorización, queda expresamente prohibida la Publicación, retransmisión, edición y cualquier otro uso de los contenidos Utilizamos cookies para mejorar tu experiencia y mostrarte contenido relevante. Al continuar navegando, aceptas nuestra política de cookies y el tratamiento de tus datos personales.Aviso de Privacidad."
Trump traiciona a los venezolanos,opinion/leon-krauze,León Krauze,2025-05-26T10:46:18.886Z,https://www.eluniversal.com.mx/opinion/leon-krauze/trump-traiciona-a-los-venezolanos/,
"Venezolanos son abandonados en Mérida, Yucatán; denuncian engaños de funcionarios del INM",estados,Yazmín Rodríguez Galaz,2024-11-21T23:49:02.697Z,https://www.eluniversal.com.mx/estados/venezolanos-son-abandonados-en-merida-yucatan-denuncian-enganos-de-funcionarios-del-inm/,
