ID_Autor,Autor
AutorID_1,Juan Felipe Useche Chacón
AutorID_2,Gabriel Salazar López
AutorID_3,Juan David Cardozo Maglioni
AutorID_4,Margarita Briceño Delgado
AutorID_5,Deivis Ramírez Miranda
AutorID_6,Salud Hernández-Mora
AutorID_7,Milagros Palomares
AutorID_8,Esteban Felipe Feria Quintero
AutorID_9,Camilo Eduardo Velásquez
AutorID_10,Javier Barragán
AutorID_11,Francisco Javier Bernal Gutiérrez
AutorID_12,Javier Barragán Ramos
AutorID_13,Europa Press|Juan David Cardozo Maglioni
AutorID_14,Andrés Felipe Romero
AutorID_15,Juan Francisco Valbuena Gaitán
AutorID_16,Ana Blas
AutorID_17,Geraldine Sofía Zambrano Calderón
AutorID_18,Carolina Avendaño Pabón
AutorID_19,Miguel Rojas
AutorID_20,David Alejandro Rojas García
AutorID_21,Cinthya Castaño
AutorID_22,Martha Uribe Jaramillo
AutorID_23,Felipe Arteaga
AutorID_24,Juliana Gil Gutiérrez
AutorID_25,Carlos Eduardo González Forero
AutorID_26,Nicolás Méndez Galvis
AutorID_27,Proyecto Migración Venezuela
AutorID_28,Cristina Castro
AutorID_29,Francisco Argüello
AutorID_30,Javier Contreras
AutorID_31,Felipe Pérez Saffon
AutorID_32,Camilo Andrés Quintana Ramírez
AutorID_33,Javier Vargas
AutorID_34,Martín Elías Pacheco Cogollo
AutorID_35,Carolina Flechas Anzola
AutorID_36,Cristian Felipe Cubillos Contreras
AutorID_37,Esteban Jurado Pedraza
AutorID_38,Juliana Liceth Castro Calderón
AutorID_39,Karen Bohórquez Contreras
AutorID_40,Nelson David García Pedraza
AutorID_41,Esteban Feria
AutorID_42,Javier Molina Castillo
AutorID_43,Debbie Sallete Cardona Gámez
AutorID_44,Semana.Com
AutorID_45,Angélica María Benavides Gómez
AutorID_46,Johnathan Alexander Toro Romero
AutorID_47,Alejandro Domínguez
AutorID_48,Agencia AP
AutorID_49,Carlos Zaid
AutorID_50,Ramón Bragaña
AutorID_51,Jhonatan González
AutorID_52,Agencia EFE
AutorID_53,Agencia Reuters
AutorID_54,Abraham Jiménez
AutorID_55,Agencia AFP
AutorID_56,Daniela Pacheco
AutorID_57,Agencia EFE y AFP
AutorID_58,Wendoline Adame
AutorID_59,Isis Rábago
AutorID_60,Wilmer Gil López
AutorID_61,Pedro Domínguez
AutorID_62,Gaspar Vela
AutorID_63,Redacción
AutorID_64,Ángel Domínguez
AutorID_65,Alejandro Reyes
AutorID_66,Óscar Rodríguez
AutorID_67,César Cubero
AutorID_68,Nexos
AutorID_69,Lucía Cisneros
AutorID_70,Azucena Rangel
AutorID_71,AFP
AutorID_72,Armando Moreno
AutorID_73,Reynaldo Gutiérrez
AutorID_74,Blanca Elizabeth Carmona
AutorID_75,Agustín Gutiérrez Canet
AutorID_76,Anahy Meza y Antonio Hernández
AutorID_77,Said Betanzos
AutorID_78,Leonardo Lugo
AutorID_79,Jannet López Ponce
AutorID_80,Blanca Carmona
AutorID_81,Silvia Arellano
AutorID_82,Marco Flores
AutorID_83,Julio Navarro Cárdenas
AutorID_84,Rafael López Méndez
AutorID_85,Antonio López
AutorID_86,Ángel Hernández
AutorID_87,Marco A. Flores
AutorID_88,César Velázquez
AutorID_89,Milenio Digital
AutorID_90,Editorial Milenio
AutorID_91,Jaime Zambrano
AutorID_92,Jesús Alberto García
